Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2005-01-03,0.18019068241119385,0.18890218823988633,0.1794268163290154,0.18630433027992624,1066716000
2005-01-04,0.17170840501785278,0.18179540706414338,0.16895739700647702,0.1814900492332006,790224000
2005-01-05,0.173313170671463,0.17537642351662203,0.16895741770154482,0.16987442048432422,724812000
2005-01-06,0.1716323047876358,0.17843277863689386,0.17040902869921912,0.1763695259200448,563568000
2005-01-07,0.16834574937820435,0.17331313250425573,0.1658239888648112,0.17201374603717312,763092000
2005-01-10,0.16872814297676086,0.17040901157805563,0.16773502976677557,0.16888127964270708,579552000
2005-01-11,0.1635315716266632,0.1680404625659133,0.16100982350727303,0.16712345952312163,1093380000
2005-01-12,0.16215604543685913,0.16559479599555252,0.15818267600807664,0.16498406652849484,1057800000
2005-01-13,0.16383779048919678,0.168116517144149,0.15894651710129595,0.162538403800603,898764000
2005-01-14,0.16437242925167084,0.1672765744993414,0.16276767085051302,0.1668941768370565,573912000
2005-01-18,0.16697026789188385,0.1673526655094194,0.16215602058054773,0.1625384045337053,464556000
2005-01-19,0.16315007209777832,0.1681165412700406,0.16246231653011547,0.1677350727771843,336492000
2005-01-20,0.1635315716266632,0.16750585726638295,0.15986357311987906,0.15986357311987906,640080000
2005-01-21,0.16383779048919678,0.16704729323707093,0.16322615926956813,0.16376076439091822,596352000
2005-01-24,0.1572655588388443,0.16528931797584948,0.1563485566233834,0.16292070872772446,463704000
2005-01-25,0.16001664102077484,0.16223303023182642,0.15703638582979576,0.15795338847812598,439704000
2005-01-26,0.16207990050315857,0.16429628980910874,0.15787728466033277,0.16055125296462053,429120000
2005-01-27,0.17507101595401764,0.17583488182911686,0.16139211601261194,0.16238522910223907,1002912000
2005-01-28,0.17484182119369507,0.17644656584120386,0.17102067330998172,0.175758823991291,671052000
2005-01-31,0.175147145986557,0.17843275891536728,0.17270150959333955,0.17629339585096254,562968000
2005-02-01,0.17843277752399445,0.17919755907695367,0.1739248036850458,0.17499402757215304,507180000
2005-02-02,0.1883675754070282,0.18981918325995845,0.18019067505335298,0.18546343052347344,2035404000
2005-02-03,0.18638040125370026,0.18767978771418067,0.18378253018152318,0.18638040125370026,690120000
2005-02-04,0.19707906246185303,0.19761366753118595,0.18638041583881232,0.18645652641636534,806448000
2005-02-07,0.19470950961112976,0.20097629289888294,0.19295254419050165,0.19730829622221233,521628000
